FILE                                           	SEEING	
ATLAS_25p0_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.29  	
ATLAS_25p2_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_25p3_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_25p4_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.27  	
ATLAS_25p5_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_25p7_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.34  	
ATLAS_25p9_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.20  	
ATLAS_26p0_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.69  	
ATLAS_26p0_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_26p2_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.24  	
ATLAS_26p4_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_26p4_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_26p5_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.39  	
ATLAS_26p5_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_26p7_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_26p9_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.20  	
ATLAS_27p0_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_27p1_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_27p2_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_27p3_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_27p6_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.28  	
ATLAS_27p6_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_27p6_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_27p6_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_27p8_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.71  	
ATLAS_28p0_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.32  	
ATLAS_28p1_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.00  	
ATLAS_28p3_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_28p4_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_28p5_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.20  	
ATLAS_28p7_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.29  	
ATLAS_28p8_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_28p8_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.88  	
ATLAS_28p8_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_28p9_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.61  	
ATLAS_29p2_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
ATLAS_29p2_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.38  	
ATLAS_29p4_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_29p6_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_29p6_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_29p8_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.39  	
ATLAS_29p9_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_2p0_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.94  	
ATLAS_2p0_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits  	1.04  	
ATLAS_2p0_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits  	1.03  	
ATLAS_2p4_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.93  	
ATLAS_2p4_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.88  	
ATLAS_2p5_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits  	1.39  	
ATLAS_2p7_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.94  	
ATLAS_2p7_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits  	0.91  	
ATLAS_2p8_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.83  	
ATLAS_2p9_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits  	1.24  	
ATLAS_30p0_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.88  	
ATLAS_30p0_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.17  	
ATLAS_30p1_m30p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
