FILE                                           	SEEING	
ATLAS_338p6_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.21  	
ATLAS_338p7_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.50  	
ATLAS_338p9_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.04  	
ATLAS_338p9_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.28  	
ATLAS_339p1_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.87  	
ATLAS_339p2_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_339p3_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.25  	
ATLAS_339p3_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.24  	
ATLAS_339p5_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.26  	
ATLAS_339p7_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.21  	
ATLAS_339p7_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.20  	
ATLAS_339p9_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.48  	
ATLAS_33p1_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_33p1_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_33p1_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.30  	
ATLAS_33p2_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_33p5_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_33p5_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.29  	
ATLAS_33p8_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_33p9_m29p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.17  	
ATLAS_340p0_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.29  	
ATLAS_340p1_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.22  	
ATLAS_340p2_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.99  	
