FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_343p9_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.14 0.01 4 0.00 0.01 0.02 -145.03 1323.27
ATLAS_343p9_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.72 0.01 2 0.00 0.10 0.07 -308.60 2040.71
ATLAS_343p9_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.11 0.02 4 0.00 0.16 0.07 -307.25 2222.16
ATLAS_343p9_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.80 0.01 2 0.00 0.08 0.08 -331.72 2214.99
ATLAS_344p2_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.92 0.02 4 0.00 0.00 0.02 -183.85 2163.48
ATLAS_344p2_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.83 0.01 2 0.00 0.06 0.05 -304.50 2010.48
ATLAS_344p2_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.70 0.01 2 0.00 0.09 0.07 -367.06 2383.78
ATLAS_344p2_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.20 0.01 2 0.00 0.09 0.08 -336.37 2345.12
ATLAS_344p2_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 315.00 0.30 23.04 0.10 0.60 0.01 7 0.00 0.03 0.07 -289.29 2482.77
ATLAS_344p6_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.87 0.02 4 0.00 0.00 0.02 -50.93 1497.71
ATLAS_344p6_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.30 0.01 2 0.00 0.05 0.04 -258.38 1883.85
ATLAS_344p6_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.60 0.01 2 0.00 0.06 0.07 -321.51 2331.69
ATLAS_344p6_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.34 0.10 1.21 0.01 4 0.00 0.06 0.06 -345.15 2138.45
ATLAS_344p6_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.96 0.01 2 0.00 0.02 0.09 -242.29 2163.94
ATLAS_344p8_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.07 0.02 4 0.00 0.00 0.02 -61.53 1652.10
ATLAS_344p8_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.85 0.01 2 0.00 0.06 0.06 -344.38 4092.25
ATLAS_344p8_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.69 0.01 2 0.00 0.10 0.09 -378.56 2210.25
ATLAS_344p8_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.86 0.01 2 0.00 0.08 0.14 -373.23 3967.92
ATLAS_344p8_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.72 0.01 2 0.00 0.05 0.13 -408.08 2405.11
ATLAS_345p1_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.15 0.01 4 0.00 0.00 0.02 -10.14 1519.92
ATLAS_345p1_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.75 0.01 2 0.00 0.04 0.04 -285.91 2078.11
ATLAS_345p1_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.07 0.01 4 0.00 0.05 0.04 -241.02 2071.51
ATLAS_345p1_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.72 0.02 2 0.00 0.02 0.09 -148.48 2155.42
ATLAS_345p3_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.93 0.01 4 0.00 0.00 0.02 -15.14 1628.68
ATLAS_345p3_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.78 0.01 2 0.00 0.04 0.04 -305.85 1969.56
ATLAS_345p3_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.71 0.01 2 0.00 0.06 0.08 -325.11 2283.29
ATLAS_345p3_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.06 0.01 2 0.00 0.05 0.13 -338.17 2289.42
ATLAS_345p3_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 315.00 0.30 23.04 0.10 0.61 0.01 7 0.00 0.02 0.05 -270.83 2574.31
ATLAS_345p7_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.05 0.10 0.83 0.02 3 0.00 0.00 0.02 -75.59 1403.39
ATLAS_345p7_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.67 0.03 2 0.00 0.05 0.07 -265.64 1893.66
ATLAS_345p7_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.68 0.01 2 0.00 0.08 0.12 -320.39 2343.77
ATLAS_345p7_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.34 0.10 1.11 0.01 3 0.00 0.07 0.07 -290.81 2272.60
ATLAS_345p7_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.84 0.03 2 0.00 0.03 0.09 -374.82 2891.11
ATLAS_346p0_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.07 0.01 4 0.00 0.00 0.02 -58.43 1612.49
ATLAS_346p0_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.90 0.01 2 0.00 0.04 0.07 -323.30 2101.03
ATLAS_346p0_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.65 0.01 2 0.00 0.06 0.10 -405.58 2320.56
ATLAS_346p0_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.87 0.02 2 0.00 0.04 0.14 -390.76 2613.61
ATLAS_346p0_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.76 0.01 2 0.00 0.02 0.08 -380.89 2476.89
ATLAS_346p2_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.15 0.01 4 0.00 0.00 0.02 -22.56 1907.92
ATLAS_346p2_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.75 0.02 2 0.00 0.06 0.05 -320.93 2085.03
ATLAS_346p2_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.26 0.02 4 0.00 0.10 0.06 -342.79 2175.88
ATLAS_346p2_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.72 0.01 2 0.00 0.04 0.11 -417.22 2350.21
ATLAS_346p5_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 22.98 0.10 0.86 0.01 3 0.00 0.00 0.02 -32.38 1374.87
ATLAS_346p5_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.83 0.01 2 0.00 0.04 0.04 -378.09 2058.82
ATLAS_346p5_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.77 0.02 2 0.00 0.06 0.08 -367.30 2349.33
ATLAS_346p5_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.11 0.01 2 0.00 0.06 0.12 -421.02 2297.97
