ATLAS_335.2_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_336.2_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_337.2_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_338.3_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_339.3_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_33.2_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_33.5_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_33.7_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_340.2_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_340.5_-19.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_340.7_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_341.2_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_341.6_-19.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_341.7_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_342.3_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_342.6_-19.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_342.8_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_343.3_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_343.8_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_344.3_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_344.9_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_345.3_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_345.9_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_346.4_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_346.9_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_347.4_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_348.0_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_348.4_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_349.0_-20.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_349.4_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_34.0_-35.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_34.2_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_34.5_-16.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
